selected_features
Clock_Speed_GHz
NFC
Resolution_Height
Storage Size GB
Screen_Size
rating
RAM Size GB
fast_charging_power
Processor_Series
brand
battery_capacity
Refresh_Rate
Resolution_Width
Processor_Brand
primary_front_camera_mp
primary_rear_camera_mp
RAM Tier
5G
num_rear_cameras
Performance_Tier
Notch_Type
os_version
